session,id,# res,# rel res,# rel exp,# exp not rel,total time
0,1,193,-2,0,1,00:01:26
2,1,1232,-2,0,1,00:02:05
3,1,353,0,0,0,00:00:56
4,1,4770,-4,0,1,00:05:29
5,1,1266,-4,1,0,00:01:21
6,1,4,0,0,2,00:04:18
7,1,1252,-2,0,1,00:01:18
8,1,0,0,0,0,00:00:27
9,1,65,0,0,1,00:01:20
0,2,2,0,0,0,00:00:21
2,2,1,0,0,1,00:00:29
3,2,0,0,0,0,00:00:19
4,2,0,0,0,0,00:00:20
5,2,2,0,0,1,00:00:33
6,2,45,0,0,1,00:05:05
7,2,1265,-2,0,0,00:00:39
8,2,2,0,0,1,00:00:42
9,2,17,0,0,2,00:02:53
0,3,0,0,0,0,00:00:04
2,3,2926,-2,0,1,00:01:43
3,3,5,0,0,5,00:05:40
4,3,0,0,0,0,00:00:12
5,3,2,0,0,1,00:00:21
6,3,38,0,0,3,00:02:25
7,3,0,0,0,0,00:00:40
8,3,4,0,0,0,00:01:17
9,3,9,0,0,0,00:00:01
0,4,4,-1,0,1,00:00:41
1,4,4152,-4,0,0,00:00:23
2,4,4,-1,0,1,00:02:16
3,4,2,0,0,1,00:00:25
4,4,2584,-5,0,0,00:02:02
5,4,17,0,0,1,00:01:07
6,4,70,0,0,0,00:00:26
7,4,1,0,0,1,00:00:56
8,4,0,0,0,0,00:00:09
9,4,0,0,0,0,00:00:17
0,5,2,0,0,1,00:00:25
1,5,4770,-4,0,0,00:00:24
2,5,13,-2,0,1,00:01:22
3,5,0,0,0,0,00:00:12
4,5,9,0,0,0,00:01:05
5,5,1,0,0,1,00:00:34
6,5,2,0,0,1,00:00:28
7,5,0,0,0,0,00:00:06
8,5,0,0,0,0,00:00:05
9,5,11,0,0,1,00:00:23
0,6,0,0,0,0,00:00:03
1,6,0,0,0,0,00:00:26
2,6,1,0,0,1,00:00:26
3,6,0,0,0,0,00:00:08
4,6,0,0,0,0,00:00:46
5,6,13,-1,1,0,00:00:51
6,6,0,0,0,0,00:00:23
7,6,105,0,0,4,00:01:35
8,6,0,0,0,0,00:00:05
9,6,11,0,0,2,00:01:54
0,7,0,0,0,0,00:00:05
1,7,527,-2,0,0,00:00:56
2,7,2,0,0,1,00:00:32
3,7,0,0,0,0,00:01:44
4,7,0,0,0,0,00:00:05
5,7,3,0,0,2,00:00:18
6,7,14,0,0,1,00:00:57
7,7,1,-1,0,0,00:00:49
8,7,149,-3,1,2,00:03:57
9,7,0,0,0,0,00:00:24
1,8,77,-2,1,0,00:00:57
2,8,1,0,0,1,00:01:04
3,8,764,0,0,1,00:02:00
4,8,17,-1,0,0,00:00:38
6,8,12,0,0,0,00:00:46
7,8,0,0,0,0,00:00:33
8,8,0,0,0,0,00:00:01
9,8,0,0,0,0,00:00:05
1,9,4,0,0,3,00:01:57
4,9,430,-1,0,1,00:02:34
6,9,4,0,0,1,00:01:50
7,9,8,-1,0,1,00:01:11
8,9,0,0,0,0,00:00:04
9,9,3,0,0,0,00:00:03
1,10,0,0,0,0,00:00:17
4,10,13,0,0,1,00:05:02
7,10,1,0,0,1,00:00:31
8,10,0,0,0,0,00:00:03
1,11,4,0,0,4,00:00:21
4,11,2,-1,1,1,00:04:59
7,11,1,0,0,0,00:00:43
1,12,0,0,0,0,00:01:08
4,12,228,-2,0,0,00:00:46
7,12,265,-1,0,1,00:01:07
1,13,0,0,0,0,00:01:36
7,13,46,0,0,1,00:01:38
7,14,3,0,0,1,00:00:09
1,15,2,0,0,1,00:00:08
1,16,0,0,0,0,00:00:01
