session,id,% results exp,% results rel,% rel results exp,total time
2,2,100.0,0.0,0.0,00:00:29
3,3,100.0,0.0,0.0,00:05:40
7,4,100.0,0.0,0.0,00:00:56
5,5,100.0,0.0,0.0,00:00:34
2,6,100.0,0.0,0.0,00:00:26
2,8,100.0,0.0,0.0,00:01:04
7,10,100.0,0.0,0.0,00:00:31
1,11,100.0,0.0,0.0,00:00:21
4,11,100.0,50.0,50.0,00:04:59
1,9,75.0,0.0,0.0,00:01:57
5,7,66.6666666667,0.0,0.0,00:00:18
6,1,50.0,0.0,0.0,00:04:18
5,2,50.0,0.0,0.0,00:00:33
8,2,50.0,0.0,0.0,00:00:42
5,3,50.0,0.0,0.0,00:00:21
3,4,50.0,0.0,0.0,00:00:25
0,5,50.0,0.0,0.0,00:00:25
6,5,50.0,0.0,0.0,00:00:28
2,7,50.0,0.0,0.0,00:00:32
1,15,50.0,0.0,0.0,00:00:08
7,14,33.3333333333,0.0,0.0,00:00:09
0,4,25.0,25.0,0.0,00:00:41
2,4,25.0,25.0,0.0,00:02:16
6,9,25.0,0.0,0.0,00:01:50
9,6,18.1818181818,0.0,0.0,00:01:54
7,9,12.5,12.5,0.0,00:01:11
9,2,11.7647058824,0.0,0.0,00:02:53
9,5,9.09090909091,0.0,0.0,00:00:23
6,3,7.89473684211,0.0,0.0,00:02:25
2,5,7.69230769231,15.3846153846,0.0,00:01:22
5,6,7.69230769231,7.69230769231,7.69230769231,00:00:51
6,7,7.14285714286,0.0,0.0,00:00:57
4,10,7.69230769231,0.0,0.0,00:05:02
5,4,5.88235294118,0.0,0.0,00:01:07
7,6,3.80952380952,0.0,0.0,00:01:35
6,2,2.22222222222,0.0,0.0,00:05:05
8,7,2.01342281879,2.01342281879,0.671140939597,00:03:57
7,13,2.17391304348,0.0,0.0,00:01:38
9,1,1.53846153846,0.0,0.0,00:01:20
1,8,1.2987012987,2.5974025974,1.2987012987,00:00:57
0,1,0.518134715026,1.03626943005,0.0,00:01:26
2,1,0.0811688311688,0.162337662338,0.0,00:02:05
3,1,0.0,0.0,0.0,00:00:56
4,1,0.020964360587,0.083857442348,0.0,00:05:29
5,1,0.0789889415482,0.315955766193,0.0789889415482,00:01:21
7,1,0.0798722044728,0.159744408946,0.0,00:01:18
0,2,0.0,0.0,0.0,00:00:21
7,2,0.0,0.158102766798,0.0,00:00:39
2,3,0.0341763499658,0.0683526999316,0.0,00:01:43
8,3,0.0,0.0,0.0,00:01:17
9,3,0.0,0.0,0.0,00:00:01
1,4,0.0,0.0963391136802,0.0,00:00:23
4,4,0.0,0.193498452012,0.0,00:02:02
6,4,0.0,0.0,0.0,00:00:26
1,5,0.0,0.083857442348,0.0,00:00:24
4,5,0.0,0.0,0.0,00:01:05
1,7,0.0,0.379506641366,0.0,00:00:56
7,7,0.0,100.0,0.0,00:00:49
3,8,0.130890052356,0.0,0.0,00:02:00
4,8,0.0,5.88235294118,0.0,00:00:38
6,8,0.0,0.0,0.0,00:00:46
4,9,0.232558139535,0.232558139535,0.0,00:02:34
9,9,0.0,0.0,0.0,00:00:03
7,11,0.0,0.0,0.0,00:00:43
4,12,0.0,0.877192982456,0.0,00:00:46
7,12,0.377358490566,0.377358490566,0.0,00:01:07
