"Session","ID","Time Started","Time Finished","Total Time","Search Started","Search Stopped","Total Search Time","Search Type","Query","File Name Patterns","Search For","Limit To","Scope","# Res","# Rel Res","# Exp","# Rel Exp","Results Explored","Comments",,
1,1,00:04,00:11,00:07,"-","-","-","Open Type","commit",,,,,"cancelled",0,0,0,,"Too Long",,
1,2,00:14,01:06,00:52,00:36,01:06,00:30,"File","*commit*",,,,"workspace","cancelled",0,0,0,,"Too Long",,
1,3,01:33,06:20,04:47,02:23,06:20,03:57,"File","*commit*",,,,"ui package","cancelled",0,0,0,,"Too Long",,
1,4,06:37,07:00,00:23,07:02,09:03,02:01,"File","*commit*",,,,"workspace",4152,4,0,0,,,,
1,5,14:25,14:49,00:24,14:37,14:49,00:12,"File","commit",,,,"workspace",4770,4,0,0,,,,
1,6,14:49,15:15,00:26,15:14,15:14,00:00,"File","commit","commit",,,"workspace",0,0,0,0,,,,
1,7,15:17,16:13,00:56,16:01,16:12,00:11,"Java","*commit*",,"type","references","workspace",527,2,0,0,,,,
1,8,16:13,17:10,00:57,16:39,16:42,00:03,"Java","*commit*",,"type","references","ui package",77,2,1,1,"CommitAction.java",,,
1,9,17:11,07:00,01:49,17:57,17:57,00:00,"Find in File","resourcesToCommit",,,,,4,,3,,"CommitAction.run(), CommitAction.confirmCommit(IResource), CommitAction.getProposedCommit(IResource[])",,,
1,10,20:34,20:51,00:17,20:50,20:51,00:01,"Reference","setSelectedResources",,,,"workspace",0,0,0,0,,,,
1,11,21:41,22:02,00:21,21:50,21:50,00:00,"Find in File","select",,,,,4,,4," ",,,,
1,12,22:32,23:40,01:08,23:40,23:40,00:00,"Java","select",,"field","references","CommitAction",0,0,0,0," ",,,
1,13,22:43,00:19,01:36,00:19,00:19,00:00,"Java","select",,"field","all occurances","CommitAction",0,0,0,0,,,,
1,14,00:26,00:49,00:23,"-","-","-","Java","select*",,"field","all occurances","CommitAction",,,0,,,"Invalid: Unable to search on Selected Resources",,
1,15,00:50,00:58,00:08,00:54,00:54,00:00,"Find in File","select",,,,,2,,1,,,,,
1,16,03:58,03:59,00:01,03:57,03:57,00:00,"Reference","setSelectedResources",,,,"workspace",0,0,0,0,,,,
0,1,04:03,05:29,01:26,04:18,04:21,00:03,"File","modified",,,,"ui package",193,2,1,0,"ImageDescriptors.java","Limited to ui project",,
0,2,06:29,06:50,00:21,06:48,06:50,00:02,"File","update.gif",,,,"ui package",2,0,0,0,,"Limited to ui project",,
0,3,07:58,08:02,00:04,08:02,08:02,00:00,"File",,"update.gif",,,"ui package",0,0,0,0,,"Limited to file name pattern",,
0,4,16:45,17:26,00:41,17:05,17:08,00:03,"Java","IMG_MENU_ADD",,"field","all occurances","enclosing projects",4,1,1,0,"ImageDescriptors.java","Limited to all occurances in enclosed project",,
0,5,18:55,19:20,00:25,19:03,19:04,00:01,"Reference","AddAction.getImageId",,,,"ui package",2,0,1,0,"ReplaceableIconAction.java","Limited to project",,
0,6,05:50,05:53,00:03,05:52,05:53,00:01,"Reference","AddAction.java",,,,"ui package",0,0,0,0,,"From package explorer",,
